Id,Calories,TotalIntensity,AverageIntensity,StepTotal,Date,Time
1503960366,81,20,0.333333,373,2016-04-12,00:00:00
1503960366,61,8,0.133333,160,2016-04-12,01:00:00
1503960366,59,7,0.116667,151,2016-04-12,02:00:00
1503960366,47,0,0.0,0,2016-04-12,03:00:00
1503960366,48,0,0.0,0,2016-04-12,04:00:00
1503960366,48,0,0.0,0,2016-04-12,05:00:00
1503960366,48,0,0.0,0,2016-04-12,06:00:00
1503960366,47,0,0.0,0,2016-04-12,07:00:00
1503960366,68,13,0.216667,250,2016-04-12,08:00:00
1503960366,141,30,0.5,1864,2016-04-12,09:00:00
1503960366,99,29,0.483333,676,2016-04-12,10:00:00
1503960366,76,12,0.2,360,2016-04-12,11:00:00
1503960366,73,11,0.183333,253,2016-04-12,12:00:00
1503960366,66,6,0.1,221,2016-04-12,13:00:00
1503960366,110,36,0.6,1166,2016-04-12,14:00:00
1503960366,151,58,0.966667,2063,2016-04-12,15:00:00
1503960366,76,13,0.216667,344,2016-04-12,16:00:00
1503960366,83,16,0.266667,489,2016-04-12,17:00:00
1503960366,124,29,0.483333,1386,2016-04-12,18:00:00
1503960366,104,39,0.65,558,2016-04-12,19:00:00
1503960366,132,41,0.683333,1733,2016-04-12,20:00:00
1503960366,100,31,0.516667,684,2016-04-12,21:00:00
1503960366,65,9,0.15,89,2016-04-12,22:00:00
1503960366,81,21,0.35,338,2016-04-12,23:00:00
1503960366,69,14,0.233333,144,2016-04-13,00:00:00
1503960366,48,0,0.0,0,2016-04-13,01:00:00
1503960366,47,0,0.0,0,2016-04-13,02:00:00
1503960366,53,4,0.066667,36,2016-04-13,03:00:00
1503960366,47,0,0.0,0,2016-04-13,04:00:00
1503960366,47,0,0.0,0,2016-04-13,05:00:00
1503960366,48,0,0.0,0,2016-04-13,06:00:00
1503960366,59,8,0.133333,126,2016-04-13,07:00:00
1503960366,69,12,0.2,275,2016-04-13,08:00:00
1503960366,136,27,0.45,1679,2016-04-13,09:00:00
1503960366,77,15,0.25,295,2016-04-13,10:00:00
1503960366,84,16,0.266667,524,2016-04-13,11:00:00
1503960366,82,15,0.25,486,2016-04-13,12:00:00
1503960366,72,10,0.166667,302,2016-04-13,13:00:00
1503960366,128,46,0.766667,1577,2016-04-13,14:00:00
1503960366,79,13,0.216667,493,2016-04-13,15:00:00
1503960366,71,10,0.166667,299,2016-04-13,16:00:00
1503960366,87,23,0.383333,695,2016-04-13,17:00:00
1503960366,118,25,0.416667,1343,2016-04-13,18:00:00
1503960366,73,13,0.216667,258,2016-04-13,19:00:00
1503960366,47,0,0.0,0,2016-04-13,20:00:00
1503960366,48,0,0.0,0,2016-04-13,21:00:00
1503960366,74,11,0.183333,437,2016-04-13,22:00:00
1503960366,135,56,0.933333,1766,2016-04-13,23:00:00
1503960366,56,4,0.066667,81,2016-04-14,00:00:00
1503960366,54,3,0.05,58,2016-04-14,01:00:00
1503960366,47,0,0.0,0,2016-04-14,02:00:00
1503960366,47,0,0.0,0,2016-04-14,03:00:00
1503960366,47,0,0.0,0,2016-04-14,04:00:00
1503960366,47,0,0.0,0,2016-04-14,05:00:00
1503960366,47,0,0.0,0,2016-04-14,06:00:00
1503960366,47,0,0.0,0,2016-04-14,07:00:00
1503960366,47,0,0.0,0,2016-04-14,08:00:00
1503960366,93,14,0.233333,902,2016-04-14,09:00:00
1503960366,109,23,0.383333,1106,2016-04-14,10:00:00
